제너시스비비큐의 대표이사는 누구야?	1
제너시스 비비큐의 창립일은 언제야?	1
공정거래위원회는 어디에 사무실이 위치해있어?	1
공정거래위원회가 제너시스비비큐에게 내린 시정명령은 어떤 내용이야?	1
다른 회사는 상품권 발행비용 명목으로 수수료를 얼마씩 받고 있어?	1
왜 제너시스비비큐는 상품권 수령을 강요하면서까지 상품권 수수료를 챙기려고 했어?	1
김정은 위원장은 언제 한미 연합훈련의 중단을 요구했어?	1
북미 정상회담은 어디서 열렸어?	1
리비아식 모델은 무엇을 말하는 것이야?	1
북미 정상회담 네 개의 합의 조항은 무엇이야?	1
아시아나항공이 모든 여객기에 기내식을 싣겠다고 말한 사람은 누구야?	1
기내식 대란이 시작된 건 언제야?	1
기내식이 만들어지는 장소는 어디야?	1
기내식의 종류가 뭐야?	1
기내식은 어떻게 만들어?	1
기내식 대란의 이유가 뭐야?	1
기내식은 어떻게 제공돼?	1
이전 시설과 다른 작업 환경에서 일해야 하는 이유가 뭐야?	1
간편식의 내용은 뭐야?	1
기내식 포장은 어떻게 해?	1
푸틴 전에는 누가 러시아 대통령이었어?	1
푸틴의 임기는 언제까지야?	1
푸틴은 어디서 부정투표 방식을 배운 것일까?	1
부정투표한 공무원은 대가로 무엇을 받았을까?	1
어떻게 해야 부정투표를 척결할 수 있을까?	1
왜 푸틴은 부정선거를 하는 걸까?	1
왜 소비에트 연방이 해체된 거야?	1
2018 러시아 월드컵이 시작하는 달은 몇 월이야?	1
'우리 동네 예체능' 축구 편은 어디서 촬영했어?	1
유해진 씨와 박지성 선수는 어떻게 닮았어?	1
군산 어청도 인근의 어선이 전복된 해는 언제?	1
해경 경찰이 되기 위한 조건은 무엇?	1
배가 출발되기 전 안전 수칙을 결정짓는 방법을 알기 위해 어떻게?	1
선원 4명의 구조 후 해양 경찰의 대처 방법은 무엇?	1
KBS 취재진과 인터뷰한 미국 측 핵심 관계자는 누구지?	1
북미 정상회담은 언제였지?	1
북한의 대륙 간 탄도미사일 ICBM 기지는 어디지?	1
마이크 폼페이 오는 북미 정상회담에서 美 국무장관으로 무슨 역할을 했어?	1
완전한 비핵화를 실현하기 위해서 남북은 어떻게 해야 돼?	1
대륙 간 탄도미사일 ICBM 이 뭐야?	1
북미 양측이 좁혀야 할 차이점이 뭐지?	1
판문점 선언의 구체적인 합의 내용이 뭐지?	1
북미 정상회담에서 CVID를 합의문에 명시하려면 미국은 어떻게 해야 돼?	1
북한 관광 사업에 대해 현재 정부는 전담팀을 구성했는데 책임자는 누구야?	1
북한 관광은 언제부터 시작됐어?	1
이정수 사진작가는 장백폭포를 보고 뭐라고 말했어?	1
구글은 얼마를 투자해서 안드로이드 오토 서비스를 제작했어?	1
구글은 언제부터 길 찾기 서비스에 필요한 정밀 지도 데이터를 우리 정부에 요청했어?	1
구글은 어떻게 자율주행차 서비스에 진출할 예정이야?	1
한국에 안드로이드 사용자들이 많은 이유가 뭐야?	1
안드로이드 오토는 어떻게 차량과 스마트폰을 연결해?	1
가온미디어가 52주 신고가를 기록한 게 언제야?	1
퀀트 재무 점수는 무엇에 기반하여 매겨져?	1
수익성 측면의 ROA, ROE는 어떻게 개선되었어?	1
기관 투자자의 거래 참여가 높은 이유가 뭐야?	1
인천 우등생 살해 사건을 맡은 담당 판사는 누구야?	1
인천 초등생 살해 사건은 언제 일어났어?	1
인천 초등생 살해 사건의 가해자는 피해자를 어디서 죽인 거야?	1
아스퍼거 증후군은 뭘 말하는 거야?	1
살인사건 재판 과정은 어떻게 돼?	1
가해자는 왜 초등학생을 살해했대?	1
소년법은 뭘 말하는 거야?	1
가해자는 초등학생을 어떻게 살해한 거야?	1
항소심은 뭘 말하는 거야?	1
살인 방조는 뭘 말하는 거야?	1
인천 초등생 살해 사건 가해자들은 어떻게 붙잡힌 거야?	1
압수수색한 컴퓨터 하드디스크와 서류 등의 양은 얼마나 돼?	1
관세를 피했다는 내부 증언은 언제 이루어졌어?	1
한진관광 사무실은 어디에 있어?	1
물벼락 갑질 사건은 어떻게 일어난 사건이야?	1
조현민 씨와 한진 가는 압수수색에 어떻게 반응했어?	1
관세청은 조 씨 일가의 자택에서 촬영한 고가 외제품들을 왜 목록으로 정리한 거야?	1
올해 갈치 어획량은 얼마일까?	1
1인 가구가 증가한 이유는 무엇일까?	1
스프링클러 설치 의무화는 언제 시행되었어?	1
지난주 금요일 화재사고가 난 고시원은 서울 어디에 있어?	1
왜 사고가 난 고시원에는 혼자 사시는 어르신들이 많았어?	1
고시생 없는 고시원이 늘고 있는 이유가 뭐야?	1
사망자가 고시원 3층에서 가장 많이 발생한 이유가 뭐야	1
붕가붕가레코드는 언제 설립됐어?	1
장기하와 얼굴들은 언제 데뷔했어?	1
장기하와 얼굴들의 대표곡은 무엇이야?	1
장기하와 얼굴들 멤버는 총 몇 명이야?	1
톡식의 멤버는 총 몇 명이야?	1
톡식은 어떻게 결정됐어?	1
제주도는 몇 도를 기록했어?	1
언제부터 경기 북부에 오전 주의보가 발효됐어?	1
왜 오존농도가 나쁨으로 예상돼?	1
어린이집 보육료는 얼마야?	1
정 할아버지가 쓰러졌을 때 병원에 데려가거나 119에 신고한 사람이 누구야?	1
정 할아버지가 논두렁에서 쓰러진 게 언제야?	1
전해질이 뭐야?	1
전해질 섭취는 어떻게 해야 돼?	1
탈수가 일어나는데 왜 죽는 거야?	1
할아버지가 쓰러질 당시 기온은 몇 도였어?	1
할아버지 사망의 사인이 뭐야?	1
사망자 4명은 모두 어떻게 사망한 거야?	1
2016년 면세품 사이트 운영 업체에 대해 증거 부족 등을 이유로 법원의 취소 판결을 내린 사람은 누구야?	1
조회장 자녀의 소유인 면세품 사이트 운영은 언제부터 시작됐어?	1
지난 20일 공정위가 현장조사를 벌인 무역업체는 어디야?	1
조양호 회장의 자녀 3명이 어떻게 무역업체의 공동사업자가 됐어?	1
무역업체가 얻은 통행세는 어떻게 사용됐어?	1
국립묘지는 어디에 있어?	1
국립묘지에 안장된 친일반민족행위자들은 6.25 때 무슨 공을 세웠어?	1
친일반민족 인사들이 어떻게 국립묘지에 안장됐어?	1
국립국악원은 어떻게 친일 행적을 공개했어?	1
도심과 농촌의 고령 일인 가구와 취약계층에 대한 지원은 뭐가 있을까?	1
상임위원회는 누가 만드는 거야?	1
남북고위급회담은 언제 개최되는 거야?	1
북미 정상회담은 어디서 하는 거야?	1
남북고위급회담은 무엇을 결정해?	1
남북 간 여러 채널은 어떻게 관리해?	1
국가안보실장은 왜 정의용이 된 거야?	1
윤창호는 누구한테 사고를 당한 거야?	1
음주 차량에 언제 사고를 당했대?	1
윤창호는 어디서 사고를 당한 거야?	1
왜 윤창호 법을 만들자 하는 거야?	1
원인이 된 하천변 버스 승하차장 장소는 어디야?	1
동계 올림픽 조직위는 무슨 일을 했어?	1
어떻게 하면 이런 인재로 인한 피해가 일어나지 않을까?	1
평창 동계올림픽이 끝났는데 왜 버스 승하차장을 철거하지 않았지 지?	1
북한에 납치된 일본 납북자는 누구지?	1
정의용 실장이 중국과 러시아 방문을 언제 했지?	1
남북정상회담이 열리는 곳은 어디지?	1
남북정상회담과 5월로 예정된 북미 정상회담에서 다뤄질 안건이 뭐야?	1
교통사고처리 특례법상 업무상과실치상 죄는 어떻게 처벌되지?	1
현재 등록돼 있는 자동차는 모두 몇 대지?	1
현재 번호판 체계는 언제 처음 시작되었지?	1
국토교통부는 어디에 있지?	1
국토교통부의 주요 업무는 뭐야?	1
위 변조 방지용 비표는 어떻게 넣는 거지?	1
승합 차와 화물차, 특수차, 이륜차는 새 번호판 체계를 왜 적용받지 않을까?	1
왜 경찰청과 자치단체 등의 관계 기관 선호도를 조사했지?	1
해마다 자동차 80만 대씩의 등록 대수 증가는 다른 OECD 국가에 비교할 때 어떻게 볼 수 있지?	1
유치원 방과 후 영어 수업에 반대하는 사람은 누구야?	1
유은혜 고육부장관은 언제 취임했어?	1
온종일 돌봄 체계를 지원하는 곳은 어디야?	1
온종일 돌봄 체계가 뭐야?	1
온종일 돌봄 체계는 어떻게 생겨났어?	1
온종일 돌봄 체계를 우선적으로 추진하는 이유가 뭐야?	1
광주형 일자리에 해당되는 대상은 누구니?	1
민주노총의 파업이 시작되는 시각은 언제야?	1
민주노동이 주장한 노동 3권은 무엇을 말하는 거지?	1
노동법 개정 방안에 대한 민주노총과 경영계의 입장이 다른 이유는 뭐야?	1
중국의 자동차의 사기 판매는 언제부터 많이 생겨나고 있어?	1
중국의 차량 판매 회사 중 흠집 차량을 새 차로 둔갑하여 판매하는 사기 판매가 적발되지 않은 회사는 어디야?	1
중국의 자동차의 사기 판매를 당하지 않으려면 어떤 것을 반드시 살펴야 해?	1
중국에서 자동차의 사기 판매를 당한 경우 어떻게 보상받을 수 있어?	1
쌍둥이 부모인 소비자가 기저귀를 구입한 건 언제야?	1
벌레가 발견된 제품 이름은 뭐야?	1
방충 기능 포장재 상용화가 늦어지는 이유는 뭐야?	1
누가 세월호 유족을 사찰했지?	1
국방부가 국군 기무사령부를 포함해 모든 군인의 정치개입 소지를 차단하기 위한 특별법 제정을 언제 추진하지?	1
불법적인 정치개입 지시 거부 시 발생하는 불이익을 어디에 신고하면 돼?	1
계엄령 검토 문건의 내용은 뭐야?	1
KG 케미컬은 무슨 회사야?	1
유동비율은 뭘 말하는 거야?	1
매매회전율 % 가 높으면 좋은 거야?	1
매출액 증가율과 자기자본 증가율이 감소한 이유는 어디에 있는 거야?	1
ROA, ROE의 약자와 뜻은 뭐야?	1
최근 거래량이 급격히 늘어난 이유가 따로 존재하는 거야?	1
네오팜의 지난 분기 성장성 점수는 몇 점이야?	1
네오팜은 무슨 일을 하는 기업이야?	1
왜 개인만 매도 우위로 반전된 거야?	1
영업이익이 하락한 이유는 뭐야?	1
